-19,-24,90,42,94,-35,-45,-10,-88,-74,81,44,69,-32,-21,95,13,-92,63,-73
-53,88,-95,23,67,-59,23,33,35,5,72,-38,72,-18,-79,12,85,-44,-54,-77
-16,4,-41,-97,92,63,-5,7,-72,78,-39,77,-49,-32,14,92,-23,-41,-8,52
3,26,-65,6,39,38,-39,-11,69,-87,87,-81,-25,-53,56,-92,-5,75,-27,48
-32,40,17,-53,-47,15,22,35,9,-90,-81,-75,-2,40,-28,-54,-51,26,-69,83
-79,12,42,25,-52,-22,21,0,58,48,-89,-85,-4,11,-4,26,57,5,-58,5
2,40,16,1,3,68,-94,-39,29,-47,-10,-15,77,88,33,-55,-2,72,43,-40
60,72,-93,15,-60,-37,-8,82,-85,-9,38,75,19,-4,21,29,55,83,-41,64
-97,99,72,-92,49,-97,-55,99,58,88,-66,21,8,83,29,-3,86,-87,-48,25
-1,69,88,93,99,-2,67,17,10,-2,-33,19,-56,-36,37,60,-45,-95,19,-65
-78,28,-58,-89,87,-56,32,88,16,36,46,94,62,-82,59,-58,-14,63,71,-60
-63,14,50,32,-96,25,-14,-60,32,36,0,17,99,-42,93,-40,-12,-88,19,-74
-10,95,-84,76,33,69,-57,-30,84,-77,66,-67,32,93,50,98,28,97,13,-36
43,33,-30,-40,38,-72,7,-74,31,7,45,24,61,57,18,-91,-38,42,-42,55
-29,-65,30,52,8,-54,58,-51,17,-16,-35,-44,-35,-45,-4,4,95,43,-56,39
3,92,-69,3,-36,-60,25,80,-32,-53,84,-45,48,97,-28,-25,-11,19,-31,9
-19,55,-2,-63,12,-72,-59,22,-64,-1,88,64,24,-8,87,59,32,-22,15,56
99,-45,30,-65,58,-90,20,-26,-4,60,21,-3,19,-73,32,43,-55,30,-3,-31
-59,-65,-28,66,60,25,29,-35,-19,20,37,-73,9,-39,30,60,0,-27,-87,72
39,67,-21,51,-69,72,9,61,35,-96,33,14,4,47,-93,-80,31,82,-11,-31
